hidden_layers,activation,learning_rate,batch_size,epochs,val_accuracy,test_accuracy
"[512, 256, 128]",relu,0.01,64,50,0.5566801619433198,0.551417004048583
"[128, 64, 32]",tanh,0.01,32,100,0.5566801619433198,0.5384615384615384
"[128, 64, 32]",tanh,0.01,64,50,0.5546558704453441,0.5360323886639676
"[256, 128]",relu,0.01,32,150,0.5546558704453441,0.5619433198380567
"[128, 128]",tanh,0.01,32,150,0.5546558704453441,0.5408906882591094
"[256, 128]",relu,0.01,64,50,0.5546558704453441,0.5352226720647774
"[128, 64, 32]",tanh,0.01,64,150,0.5546558704453441,0.5287449392712551
"[64, 32]",relu,0.01,32,100,0.5526315789473685,0.551417004048583
"[128, 128]",relu,0.01,32,50,0.5526315789473685,0.5360323886639676
"[512, 256, 128]",tanh,0.01,64,50,0.5526315789473685,0.5311740890688259
"[256, 128, 64]",relu,0.01,32,50,0.5526315789473685,0.5603238866396761
"[256, 128]",tanh,0.01,64,50,0.5526315789473685,0.5255060728744939
"[512, 256, 128]",tanh,0.01,32,100,0.5526315789473685,0.5465587044534413
"[128, 64]",tanh,0.01,32,150,0.5526315789473685,0.5465587044534413
"[512, 256, 128]",relu,0.01,32,50,0.5506072874493927,0.5724696356275304
"[256, 128, 64]",tanh,0.001,32,150,0.5506072874493927,0.5157894736842106
"[256, 128, 64]",tanh,0.01,32,50,0.5506072874493927,0.540080971659919
"[256, 128]",relu,0.01,32,50,0.5506072874493927,0.5368421052631579
"[256, 128, 64]",tanh,0.01,64,150,0.548582995951417,0.5497975708502024
"[128, 64, 32]",relu,0.01,32,150,0.548582995951417,0.5668016194331984
"[256, 128]",tanh,0.01,64,150,0.548582995951417,0.545748987854251
"[512, 256, 128]",relu,0.01,64,100,0.5465587044534413,0.5740890688259109
"[256, 128]",relu,0.01,64,150,0.5465587044534413,0.5465587044534413
"[128, 64, 32]",relu,0.01,32,50,0.5465587044534413,0.5522267206477732
"[512, 256, 128]",tanh,0.01,64,150,0.5465587044534413,0.5352226720647774
"[128, 64, 32]",tanh,0.01,32,150,0.5445344129554656,0.551417004048583
"[128, 64, 32]",relu,0.01,32,100,0.5425101214574899,0.5441295546558704
"[128, 64]",relu,0.01,32,150,0.5425101214574899,0.557085020242915
"[128, 64]",tanh,0.01,64,150,0.5425101214574899,0.5311740890688259
"[128, 128]",relu,0.01,32,100,0.5425101214574899,0.5603238866396761
"[128, 128]",tanh,0.01,32,50,0.5425101214574899,0.5465587044534413
"[128, 64]",tanh,0.01,32,100,0.5425101214574899,0.5481781376518219
"[256, 128, 64]",relu,0.01,64,50,0.5425101214574899,0.5506072874493927
"[128, 128]",tanh,0.01,64,100,0.5404858299595142,0.5473684210526316
"[128, 128]",relu,0.01,32,150,0.5404858299595142,0.5991902834008097
"[128, 128]",relu,0.001,32,150,0.5404858299595142,0.5190283400809717
"[128, 64]",tanh,0.001,32,150,0.5404858299595142,0.5117408906882591
"[64, 32]",tanh,0.001,32,150,0.5404858299595142,0.5060728744939271
"[128, 64]",tanh,0.01,64,50,0.5404858299595142,0.5271255060728745
"[128, 64, 32]",tanh,0.001,32,150,0.5404858299595142,0.5101214574898786
"[64, 32]",tanh,0.01,64,100,0.5404858299595142,0.545748987854251
"[256, 128, 64]",tanh,0.001,64,150,0.5384615384615384,0.5028340080971659
"[256, 128, 64]",relu,0.01,32,100,0.5384615384615384,0.5668016194331984
"[64, 32]",relu,0.01,64,150,0.5384615384615384,0.5295546558704454
"[512, 256, 128]",tanh,0.001,32,150,0.5384615384615384,0.5368421052631579
"[64, 32]",tanh,0.01,32,50,0.5364372469635628,0.5376518218623482
"[64, 32]",relu,0.01,64,50,0.5364372469635628,0.5190283400809717
"[128, 128]",relu,0.01,64,50,0.5344129554655871,0.5198380566801619
"[128, 128]",tanh,0.01,32,100,0.5344129554655871,0.5506072874493927
"[256, 128, 64]",tanh,0.01,64,50,0.5344129554655871,0.5344129554655871
"[512, 256, 128]",relu,0.01,64,150,0.5323886639676113,0.5603238866396761
"[512, 256, 128]",tanh,0.01,64,100,0.5323886639676113,0.5311740890688259
"[64, 32]",relu,0.01,64,100,0.5323886639676113,0.5376518218623482
"[128, 64]",relu,0.01,64,100,0.5323886639676113,0.551417004048583
"[128, 64]",tanh,0.01,64,100,0.5323886639676113,0.5465587044534413
"[256, 128]",tanh,0.01,64,100,0.5303643724696356,0.5408906882591094
"[256, 128]",tanh,0.001,32,150,0.5303643724696356,0.5101214574898786
"[256, 128]",tanh,0.001,32,100,0.5303643724696356,0.49473684210526314
"[256, 128, 64]",relu,0.001,32,150,0.5303643724696356,0.5174089068825911
"[256, 128]",relu,0.001,32,150,0.52834008097166,0.5117408906882591
"[128, 64, 32]",tanh,0.01,32,50,0.5263157894736842,0.5449392712550607
"[256, 128, 64]",tanh,0.01,32,150,0.5263157894736842,0.5352226720647774
"[512, 256, 128]",tanh,0.001,64,150,0.5242914979757085,0.5076923076923077
"[256, 128, 64]",relu,0.01,64,150,0.5242914979757085,0.5473684210526316
"[256, 128]",tanh,0.01,32,50,0.5242914979757085,0.5263157894736842
"[128, 128]",tanh,0.001,32,150,0.5222672064777328,0.5109311740890689
"[128, 64, 32]",tanh,0.01,64,100,0.520242914979757,0.5368421052631579
"[128, 128]",tanh,0.01,64,150,0.5182186234817814,0.5327935222672064
"[128, 64]",relu,0.01,64,50,0.5161943319838057,0.5214574898785425
"[512, 256, 128]",tanh,0.001,32,50,0.5161943319838057,0.5020242914979757
"[128, 64, 32]",relu,0.001,32,150,0.5161943319838057,0.48582995951417
"[128, 128]",tanh,0.001,32,100,0.5161943319838057,0.4987854251012146
"[256, 128]",relu,0.001,32,100,0.5141700404858299,0.47368421052631576
"[256, 128, 64]",tanh,0.001,32,100,0.5141700404858299,0.5036437246963563
"[256, 128, 64]",relu,0.001,32,100,0.5101214574898786,0.5165991902834008
"[128, 128]",relu,0.001,32,100,0.5080971659919028,0.4874493927125506
"[512, 256, 128]",relu,0.001,32,100,0.5080971659919028,0.5198380566801619
"[128, 128]",relu,0.01,64,150,0.5080971659919028,0.5449392712550607
"[256, 128]",tanh,0.01,32,100,0.5060728744939271,0.540080971659919
"[512, 256, 128]",tanh,0.001,64,100,0.5040485829959515,0.49473684210526314
"[256, 128]",relu,0.001,64,150,0.5,0.4801619433198381
"[128, 64]",relu,0.001,32,150,0.5,0.49635627530364373
"[128, 64, 32]",tanh,0.001,64,150,0.4979757085020243,0.4777327935222672
"[512, 256, 128]",relu,0.001,32,50,0.4959514170040486,0.47530364372469636
"[128, 64, 32]",tanh,0.001,32,100,0.4959514170040486,0.5060728744939271
"[256, 128]",tanh,0.001,64,150,0.4939271255060729,0.4825910931174089
"[128, 64, 32]",relu,0.001,32,100,0.4939271255060729,0.5052631578947369
"[256, 128]",tanh,0.001,32,50,0.49190283400809715,0.4801619433198381
"[256, 128, 64]",tanh,0.001,32,50,0.49190283400809715,0.491497975708502
"[128, 128]",tanh,0.001,64,150,0.49190283400809715,0.5004048582995951
"[256, 128, 64]",tanh,0.001,64,100,0.4898785425101215,0.4777327935222672
"[64, 32]",tanh,0.001,32,100,0.48785425101214575,0.4882591093117409
"[128, 64]",tanh,0.001,32,100,0.48785425101214575,0.4834008097165992
"[64, 32]",relu,0.001,32,150,0.48785425101214575,0.49068825910931174
"[512, 256, 128]",relu,0.001,64,150,0.48582995951417,0.49959514170040487
"[256, 128]",tanh,0.001,64,100,0.48380566801619435,0.47935222672064776
"[256, 128, 64]",relu,0.001,64,150,0.48380566801619435,0.497165991902834
"[256, 128, 64]",relu,0.001,32,50,0.4817813765182186,0.48582995951417
"[128, 64]",relu,0.001,32,100,0.4817813765182186,0.48906882591093115
"[128, 64]",tanh,0.001,64,150,0.4817813765182186,0.4744939271255061
"[128, 128]",tanh,0.001,64,100,0.4777327935222672,0.4680161943319838
"[64, 32]",relu,0.001,32,100,0.4757085020242915,0.45263157894736844
"[512, 256, 128]",relu,0.001,64,100,0.4757085020242915,0.5020242914979757
"[128, 64, 32]",tanh,0.001,32,50,0.4757085020242915,0.47125506072874496
"[256, 128]",relu,0.001,32,50,0.47368421052631576,0.4680161943319838
"[128, 128]",relu,0.001,64,150,0.4716599190283401,0.4874493927125506
"[64, 32]",tanh,0.001,32,50,0.46963562753036436,0.47125506072874496
"[64, 32]",tanh,0.001,64,100,0.46963562753036436,0.4680161943319838
"[128, 64]",relu,0.001,64,150,0.46356275303643724,0.46234817813765183
"[256, 128]",tanh,0.001,64,50,0.46356275303643724,0.46234817813765183
"[128, 64, 32]",tanh,0.001,64,100,0.46356275303643724,0.4777327935222672
"[256, 128, 64]",tanh,0.01,64,100,0.46356275303643724,0.5028340080971659
"[512, 256, 128]",tanh,0.001,64,50,0.46356275303643724,0.47125506072874496
"[256, 128, 64]",relu,0.001,64,100,0.46153846153846156,0.4874493927125506
"[256, 128, 64]",tanh,0.0001,32,150,0.46153846153846156,0.4647773279352227
"[128, 64]",tanh,0.001,32,50,0.45951417004048584,0.454251012145749
"[256, 128, 64]",tanh,0.001,64,50,0.45951417004048584,0.4445344129554656
"[128, 128]",tanh,0.001,32,50,0.4574898785425101,0.47044534412955463
"[128, 128]",tanh,0.0001,32,150,0.45546558704453444,0.4534412955465587
"[64, 32]",relu,0.001,64,150,0.45546558704453444,0.47125506072874496
"[64, 32]",tanh,0.001,64,150,0.45546558704453444,0.4898785425101215
"[128, 64]",tanh,0.001,64,100,0.4534412955465587,0.46234817813765183
"[512, 256, 128]",relu,0.001,64,50,0.451417004048583,0.46234817813765183
"[128, 64]",relu,0.001,32,50,0.4493927125506073,0.4591093117408907
"[256, 128]",relu,0.001,64,100,0.4493927125506073,0.48582995951417
"[512, 256, 128]",tanh,0.0001,32,150,0.44534412955465585,0.46072874493927124
"[512, 256, 128]",relu,0.0001,32,150,0.4433198380566802,0.46639676113360323
"[256, 128]",relu,0.001,64,50,0.4433198380566802,0.44129554655870445
"[256, 128, 64]",relu,0.0001,32,150,0.44129554655870445,0.44696356275303645
"[128, 64]",relu,0.001,64,100,0.44129554655870445,0.48502024291497975
"[64, 32]",relu,0.001,64,100,0.4392712550607287,0.46558704453441296
"[128, 64, 32]",relu,0.001,64,150,0.4392712550607287,0.47044534412955463
"[64, 32]",tanh,0.001,64,50,0.4392712550607287,0.43724696356275305
"[64, 32]",relu,0.001,64,50,0.43724696356275305,0.4380566801619433
"[256, 128]",relu,0.0001,32,100,0.4352226720647773,0.39433198380566803
"[128, 64, 32]",tanh,0.0001,32,150,0.4352226720647773,0.42834008097165993
"[512, 256, 128]",relu,0.0001,64,150,0.4352226720647773,0.4234817813765182
"[128, 128]",relu,0.001,64,100,0.4331983805668016,0.45991902834008097
"[128, 64, 32]",relu,0.001,64,100,0.4311740890688259,0.45263157894736844
"[128, 64]",relu,0.001,64,50,0.4311740890688259,0.4437246963562753
"[128, 128]",relu,0.001,32,50,0.4311740890688259,0.44534412955465585
"[128, 64]",tanh,0.001,64,50,0.4291497975708502,0.43643724696356273
"[64, 32]",relu,0.001,32,50,0.4291497975708502,0.45101214574898785
"[256, 128, 64]",relu,0.001,64,50,0.4291497975708502,0.448582995951417
"[256, 128]",tanh,0.0001,32,100,0.4291497975708502,0.43562753036437246
"[512, 256, 128]",tanh,0.0001,32,100,0.4291497975708502,0.44129554655870445
"[128, 128]",tanh,0.001,64,50,0.4251012145748988,0.4380566801619433
"[512, 256, 128]",relu,0.0001,64,100,0.42105263157894735,0.41862348178137654
"[512, 256, 128]",tanh,0.0001,64,100,0.42105263157894735,0.4234817813765182
